y,x
2.90,1.00
11.30,2.00
10.60,3.00
11.20,4.00
10.90,5.00
7.50,6.00
7.70,7.00
11.70,8.00
12.90,9.00
14.30,10.00
10.90,11.00
13.70,12.00
17.10,13.00
14.00,14.00
15.30,15.00
8.50,16.00
5.70,17.00
5.50,18.00
7.60,19.00
8.60,20.00
7.30,21.00
7.60,22.00
12.70,23.00
11.00,24.00
12.70,25.00
12.90,26.00
13.00,27.00
10.90,28.00
10.40,29.00
10.20,30.00
8.00,31.00
10.90,32.00
13.60,33.00
10.50,34.00
9.20,35.00
12.40,36.00
12.70,37.00
13.30,38.00
10.10,39.00
7.80,40.00
4.80,41.00
3.00,42.00
2.50,43.00
6.30,44.00
9.70,45.00
11.60,46.00
8.60,47.00
12.40,48.00
10.50,49.00
13.30,50.00
10.40,51.00
8.10,52.00
3.70,53.00
10.70,54.00
5.10,55.00
10.40,56.00
10.90,57.00
11.70,58.00
11.40,59.00
13.70,60.00
14.10,61.00
14.00,62.00
12.50,63.00
6.30,64.00
9.60,65.00
11.70,66.00
5.00,67.00
10.80,68.00
12.70,69.00
10.80,70.00
11.80,71.00
12.60,72.00
15.70,73.00
12.60,74.00
14.80,75.00
7.80,76.00
7.10,77.00
11.20,78.00
8.10,79.00
6.40,80.00
5.20,81.00
12.00,82.00
10.20,83.00
12.70,84.00
10.20,85.00
14.70,86.00
12.20,87.00
7.10,88.00
5.70,89.00
6.70,90.00
3.90,91.00
8.50,92.00
8.30,93.00
10.80,94.00
16.70,95.00
12.60,96.00
12.50,97.00
12.50,98.00
9.80,99.00
7.20,100.00
4.10,101.00
10.60,102.00
10.10,103.00
10.10,104.00
11.90,105.00
13.60,106.00
16.30,107.00
17.60,108.00
15.50,109.00
16.00,110.00
15.20,111.00
11.20,112.00
14.30,113.00
14.50,114.00
8.50,115.00
12.00,116.00
12.70,117.00
11.30,118.00
14.50,119.00
15.10,120.00
10.40,121.00
11.50,122.00
13.40,123.00
7.50,124.00
0.60,125.00
0.30,126.00
5.50,127.00
5.00,128.00
4.60,129.00
8.20,130.00
9.90,131.00
9.20,132.00
12.50,133.00
10.90,134.00
9.90,135.00
8.90,136.00
7.60,137.00
9.50,138.00
8.40,139.00
10.70,140.00
13.60,141.00
13.70,142.00
13.70,143.00
16.50,144.00
16.80,145.00
17.10,146.00
15.40,147.00
9.50,148.00
6.10,149.00
10.10,150.00
9.30,151.00
5.30,152.00
11.20,153.00
16.60,154.00
15.60,155.00
12.00,156.00
11.50,157.00
8.60,158.00
13.80,159.00
8.70,160.00
8.60,161.00
8.60,162.00
8.70,163.00
12.80,164.00
13.20,165.00
14.00,166.00
13.40,167.00
14.80,168.00
